product_id,product_name,price,image_url,pattern,occasion,brand,ideal_for,fabric,color
1,Jovial Mart Store Men's Solid Formal Shirt,599,http://img5a.flixcart.com/image/shirt/e/9/h/3001-jovial-mart-store-42-1000x1000-imaecwgm3jvuggej.jpeg,solid,formal,jovial mart store,men,cotton,blue
2,Jpeters Men's Solid Formal Shirt,2100,http://img5a.flixcart.com/image/shirt/z/r/e/r-s-2116-jpeters-xl-1000x1000-imaea8gkb5rqvh3b.jpeg,solid,formal,jpeters,men,silk,red
3,Just Differ Men's Polka Print Formal Shirt,1099,http://img6a.flixcart.com/image/shirt/c/b/g/jdsh-10079-just-differ-40-original-imaecgvjyzm76wre.jpeg,polka print,formal,just differ,men,cotton,white
4,Parijat Embroidered Women's Straight Kurta ,899,http://img5a.flixcart.com/image/kurta/s/j/d/mcsk001090-ymu-parijat-free-original-imaebfghtgzz5aty.jpeg,embroidered,casual,parijat,women,cotton,green
5,Bells and Whistles Solid Girl's Jumpsuit,799,http://img6a.flixcart.com/image/jumpsuit/c/p/f/ss16-gdgry-53a-bells-and-whistles-7-8-years-original-imaeg73fq9qgwvw4.jpeg,solid,casual,bells and whistles,girls,denim,white
6,Coucou Printed Girl's Jumpsuit,777,http://img6a.flixcart.com/image/jumpsuit/v/g/e/1-1-slp14818-coucou-l-original-imaebxw5zbk2cjcb.jpeg,printed,casual,coucou,girls,cotton,black
7,Cutecumber Floral Print Girl's Jumpsuit,2310,http://img6a.flixcart.com/image/jumpsuit/a/c/r/120-108-1466js-black-cutecumber-9-10-years-original-imaeczbxhzggjqud.jpeg,floral print,casual,cutecumber,girls,polyester,red
8,INDRICKA Casual Full Sleeve Solid Women's Top,1889,http://img5a.flixcart.com/image/top/z/h/8/stvaus17saf-indricka-m-1000x1000-imaegbecw9dmqztf.jpeg,solid,casual,indricka,women,cotton,blue
9,Noble Faith Casual Full Sleeve Solid Women's Top,2199,http://img5a.flixcart.com/image/top/c/b/e/1-1-540828-noble-faith-l-original-imae8zbaxfd6gbmc.jpeg,solid,casual,noble faith,women,cotton,green
10,Ozel Studio Casual Short Sleeve Solid Women's Top,2000,http://img5a.flixcart.com/image/top/q/e/y/t-00125-ozel-studio-s-original-imae5pdfybbzq77z.jpeg,solid,casual,ozel studio,women,cotton,white
11,Shilpkala Casual Bell Sleeve Printed Women's Top,799,http://img5a.flixcart.com/image/top/y/z/w/1-1-skt3020-shilpkala-l-original-imae8dfzbvyek3ht.jpeg,printed,casual,shilpkala,women,polycrepe,white
12,TeeMoods Casual Butterfly Sleeve Solid Women's Top,699,http://img5a.flixcart.com/image/top/r/d/k/1-1-tm-c-185red-pur-teemoods-m-original-imae5qeqrfmanpw3.jpeg,sleeve,casual,teemoods,women,viscose,pink
13,Veakupia Casual Sleeveless Solid Women's Top,599,http://img5a.flixcart.com/image/top/u/m/d/1-1-3606-veakupia-l-original-imae8xvtpnvfw49v.jpeg,sleeveless,casual,veakupia,women,cotton,black
